subject,cluster
Duplicate triples logged as deleted at DBPedia-Live,0
Unable to load all triples for wikipedia pagelinks,0
DBpedia (EN) - how many triples?,0
default limitation for fetching triples from dbpedia endpoint,0
Triple counts for DBpedia chapters & Dbpedia as a whole,0
Pagelinks missing from the triple store at dbpedia.org?,0
Pagelinks missing from the triple store atdbpedia.org?,0
total number of triples and instances in current DBpedia version 3.9,0
24 Million Broken Pagelinks,0
DBpedia: limit of triples,0
Problem with DBPedia extraction,1
Inconsistencies in dbpedia extracted data / Group of templates,1
dbpedia extraction errors for links within texts,1
DBpedia Open Text Extraction Challenge - TextExt,1
a few questions about dbpedia extraction,1
Distributed DBpedia Extraction (Open Beta),1
DBpedia Service down due to maintenance work,2
enquiry on wikipedia extraction frame work,2
Downloads2014 Surface Forms do not work,2
how to test if extraction of triples on a wikipedia page is working correctly?,2
how to connect input to wikipedia extraction frame work?,2
WikiParser is not working but explicit SimpleWikiParser,2
keyword search not working anyomore ?,2
Semantic Wikipedia work at Shanghai Jiao Tong University?,2
mapping statistics doesn't work,2
Lookup not working,2
working with dbpedia,2
Mappings statistics not working,2
dbpedia.org sample query not working,2
After Update Queries Stopped Working,2
Conditional mapping not working?,2
"Test this mapping"" broken on mappings wiki""",3
procedural suggestions for mapping wiki,3
Labels and comments on mappings wiki,3
Password recovery problem on mappings wiki.,3
Please give me edit permission of Mappings Wiki,3
Moving DBpedia mappings wiki to RDF - feedback needed,3
DBpedia ontology mapping wiki permission,3
How the property occurrences is counted,4
Missing properties for a resource from live.dbpedia.org when compared to dbpedia.org,4
property domain and range values,4
Extract specific properties of a resource,4
object property extractor should check rdfs:range,4
Querying multi-valued properties,4
missing properties in DBPedia stats,4
Brackets in Property Uris,4
Mapping-based Properties (Cleaned),4
SKOS property in DBPedia,4
schema.org ontology property not found error when editing mappings,4
Inverse properties,4
Querying for chemical properties,4
dbpedia-owl properties sparlq endpoint,4
DBpedia properties,4
Mapping-based Property errors,4
Property description,4
select distinct properties,4
Equivalent properties,4
how to discover properties of classes?,4
object property extractor should checkÂ Â Â Â rdfs:range,4
extracting properties,4
Meaning of the property wikiPageOutDegree,4
Skos subject properties are deprecated,4
Getting one value from a list values of a predicate,5
fields on dbpedia but not on wikipedia infobox template?,5
Lists of values in Wikipedia infoboxes,5
Statistics on raw wikipedia infobox usage,5
"Where is that raw"" wikipedia infobox dataset?? and""",5
question with dbpedia Virtuoso endpoint,6
Spotlight question,6
question regarding retrieval of news organisations,6
Question about DBpedia Years and some suggestions for dealing with Taxa,6
"title"" question""",6
questions about the extraction process,6
Please Urgent Question Need answer !!!!,6
Beginners Question,6
Another question about conversions from wikipedia to dbpedia,6
Question Answering over DBpedia,6
Questions about DBpedia and SPARQL,6
Questionable DBO-DOLCE equivalence mappings,6
Question about query,6
a question,6
Question about run dbpedia Extraction-Framework in windows 7,6
"Quepy, transform questions in natural language into queries in a DB language.",6
Questions about dbpedia data,6
Stale Data Question,6
Questions arised from the mapping marathon,6
Question about classes/properties returned by queries,6
Question about languages,6
Newbie questions: Sparql and dbpedia,6
Two questions on Spotlight,6
Question,6
Mapping question,6
questions about dbpedia 3.7,6
Lookup not running http://localhost:1111.,7
Getting started with DBPedia,7
(Website) How to add Datasets in DBpedia+ Website improvement,7
chembox?,7
Kudos and basic statistics,7
java.util.NoSuchElementException: key not found: dct:subject,7
Princesses: bump & grind?,7
How do install dbpedia on mediawiki under XP,7
Resouces in non-English,7
Mashup examples,7
Like DBpedia? You'll love :BaseKB,7
:BaseKB EA 2 and basekb-tools now available,7
Index of terms,7
XML formats returned by SNORQL interface?,7
Get a specific row given its rank from an ordered result in SPARQL,7
What happened to the website ?,7
regarding dbpedia endpoint,7
what is void:statItem in VoID description of Dbpeida?,7
sparql limit and offset max value,7
Metadata for publicdomainworks.net,7
How to get involved,7
Removing LingPipeSpotter spotter,7
2nd LIDER Hackathon Preparation call: today at 14:00,7
An offence to the Queens,7
Mappings.Dbpedia on SMWCon?,7
musicbrainz.org sameAs statements,7
"The LAST INVITATION for ICDIPC2016, Beirut, Lebanon - April 21, 2016",7
Academic Vacancies - CS Dept - University of Cyprus,7
"ANN, the new DBpedia Association",7
Invalid N-TRIPLES output?,7
Strategies to download subsets of DBPedia,7
Jena with eclipse JEE,7
Introducing Gazetiki (geographical database),7
Danish persondata,7
Changes in the string format,7
How to unsubscribe,7
Caching headers,7
unknow chars,7
DBpedia-Cyc linkage,7
BDM Calculation,7
how to inference?,7
Require insights,7
Please help test the German Chapter Live Endpoint,7
Some thoughts about cities and buildings,7
Concept Identifiers,7
"Computing the open"" dbpedia KB""",7
New Entity Descriptor Document Formats,7
Inquiry for contribution,7
Hello World,7
what areas of knowledge has the best qualityand coverage in dbpedia?,7
Invalid Turtle syntax in Freebase dumps,7
Can not download Mapping_id.xml,7
"Large companies all have exactly 151, 000 employees?",7
Class syntax: underscores vs. camel case,7
Help with Getting started and already available answering engine projects,7
Let's say goodbye to skos:subject,7
dbpedia down - bif:contains at fault?,7
"Reminder DBpedia Community meeting, 30th January at VU Amsterdam",7
@devs: Please add Indonesian namespace,7
Introducing Sztakipedia,7
SSL certificate for dbpedia.org,7
Wikinomics: How Mass Collaboration Changes Everything,7
queries with large number of answers,7
Strange reset of the liveupdates counter,7
Java exception,7
"Hello - I hope I'm in the right area and sorry, if I'm not",7
Possible bug with dbpedia Drug UNIIs,7
Odp: probably incorrect mapping to schema.org from MusicalArtist,7
How xmls: and dbpedia: are related ?,7
where are dbp:ethnicGroup ?,7
Feedback for new website and communication group,7
"dbpedia-links: Recommendation for predicate rdrel:manifestationOfWork"" ?""",7
HTTP response,7
equivalent class specification,7
Downtime estimate available?,7
dbpedia-live produces unreadable JSON?,7
Collecting Metadata for PublicDomainWorks.net,7
hosting bg.dbpedia.org,7
From filepage to specific file?,7
ORDER BY modifying not just order,7
sex or dbo:gender or foaf:gender?,7
WikiCompany alternatives?,7
Indonesian DBpedia,7
OntologyProperty etc.,7
Feedback Session Thu 13:30 for the Association (Funding and DBpedia Improvement),7
JSONP callback REST,7
Why many mails are coming from this address!!!,7
DBpedia hosting burden,7
:BaseKB is back,7
Introducing the Ontology2 Edition of DBpedia 2016-04,7
is it possible to extract internal links and available languages with a query?,7
What could you do with free pictures of everything on Earth?,7
