subject	message
"dbpedia ontology version 3.9"	"uHello, I'm a bit puzzled about the current version of the dbpedia ontology. The owl Version of the ontology ( More puzzling is the fact that dbpedia_3.9.owl does not contain all of the classes listed at I found however a third file at In summary there are three different versions of dbpedia.owl which all carry the versionInfo tag 3.8 and only one of them is coherent with the listing at Best regards Johannes Ce message et ses pieces jointes peuvent contenir des informations confidentielles ou privilegiees et ne doivent donc pas etre diffuses, exploites ou copies sans autorisation. Si vous avez recu ce message par erreur, veuillez le signaler a l'expediteur et le detruire ainsi que les pieces jointes. Les messages electroniques etant susceptibles d'alteration, Orange decline toute responsabilite si ce message a ete altere, deforme ou falsifie. Merci. This message and its attachments may contain confidential or privileged information that may be protected by law; they should not be distributed, used or copied without authorisation. If you have received this email in error, please notify the sender and delete this message and its attachments. As emails may be altered, Orange is not liable for messages that have been modified, changed or falsified. Thank you. uHi Johannes, the version number was indeed not updated for the 3.9 release. The subclasses mentioned were not on the mapping wiki when 3.9 was released. The mapping wiki always shows the current status of DBpedia (since it is evolving over time), which can also be found on DBpedia live. The DBpedia dumps are snapshots of a certain point in time of the mappings wiki and Wikipedia (dumps). Thus the difference. Nothing to worry about. Cheers, Anja On 30 Apr 2014, at 10:50, < > < > wrote:"
"Complete set of DBpedia resources?"	"uHi all, Luis says: Luis, instance types are extracted from mappings that were handcrafted at This means that if a page does not have an infobox, it will not have a type statement. You can get a list of all DBpedia resources that DBpedia Spotlight cares about by running our indexing code and grabbing the \"Concept URIs\" file. As an alternative, you could just \"bzcat | cut | sort | uniq\" the union of DBpedia download files. But, folks, I think that Luis has a point. On the one hand, by definition, everything is an owl:Thing, so even if we do not include this statement explicitly, any reasoner should be able to infer that. On the other hand, we do not assume that people are using reasoners, so I wonder what is the right thing to do here. A few options that I considered: 1) add documentation explaining that clients should infer \"rdf:type owl:Thing\" for every resource mentioned anywhere in DBpedia 2) provide a new dataset \"obvious_instance_types_en.nt\" with statements like \"?resource rdf:type owl:Thing\" for every DBpedia Resource that we include in our dumps 3) include \"?resource rdf:type owl:Thing\" in instance_types for every resource that does not have another type there Is there another easy way to grab the set of all resources in DBpedia? Cheers, Pablo Hi all, Luis says: First I assumed that the infobox types (instance_types_en.nt.bz2) contains all the tags which spotlight is able to extract from a text. However as I found out later, it does not. For example Pablo"
"Importing Wikipedia"	"uHi all, for those of you who want to run the DBpedia extraction locally, here are some tips on how to import a Wikipedia dump: 1. configure your mysql server! thats very very important. if you have enough RAM, use it. Find my mysql config below. 2. have two hard-disks. one for the mysql data, one for the wikipedia dumps. 3. use a standalone machine. the Wikipedia import puts a lot of load on harddisk and cpu. I used to use one of our application servers, which already had some load on it, and the import took weeks. 4. defrag your harddisks. can save some time. 5. configure the dbpedia import script. if your're not running a server OS, remove the \"-server\" flag in the java mwdumper call. (ok, this is not a performance tip, just a note for getting it working) On my workstation (intel quadcore 2,66 ghz, 8gb ram, vista 64bit, two 10k harddisks), the Wikipedia import took around a very decent 6 hours. Cheers, Georgi mysql config: key_buffer = 1024M max_allowed_packet = 32M table_cache = 256 sort_buffer_size = 512M net_buffer_length = 8M read_buffer_size = 64M read_rnd_buffer_size = 64M myisam_sort_buffer_size = 512M"
"how to import OWL-ontology to repository"	"uHello Everybody, I've built my own virtuoso-endpoint and now I want to test it with some data. But I can't find out how to Import an ontology (*.owl). Did anybody know how to do what? Thank you. Cheers, Nico uN.Stieler wrote: Please see: 1. VirtRDFInsert"
"DBpedia RDF filenames"	"uHi All, Am writing, with a niggling issue with the dbpedia3.5.1 tar ball. I have downloaded and parsed the whole lot using libraptor, and yay it all seems to parse correctly, but I wonder why all of the file names are .nt ? For the ntriples serialisation of RDF is said to be in \"ascii\", and most of the .nt files in the tar ball are not legal ascii, and hence not legal ntriples. Saying that I managed to parse all of the files using a turtle paser, turtle allows for unicode characters to be used. This could be slightly confusing to someone coming to use the dbpedia tar ball for the first time, perhaps all of the file extensions should be .ttl which seems to be the standard file extension for turtle files. Keep up the good work people. Regards, Mischa Mischa Tuffield PhD Email: Homepage - Garlik Limited, 1-3 Halford Road, Richmond, TW10 6AW, UK +44 7989 199 786 Registered in England and Wales 535 7233 VAT # 849 0517 11 Registered office: Thames House, Portsmouth Road, Esher, Surrey, KT10 9AD Hi All, Am writing, with a niggling issue with the dbpedia3.5.1 tar ball. I have downloaded and parsed the whole lot using libraptor, and yay it all seems to parse correctly, but I wonder why all of the file names are .nt ? For the ntriples serialisation of RDF is said to be in \"ascii\", and most of the .nt files in the tar ball are not legal ascii, and hence not legal ntriples. Saying that I managed to parse all of the files using a turtle paser, turtle allows for unicode characters to be used. This could be slightly confusing to someone coming to use the dbpedia tar ball for the first time, perhaps all of the file extensions should be .ttl which seems to be the standard file extension for turtle files. Keep up the good work people. Regards, Mischa Mischa Tuffield PhD Email: Homepage - 9AD"
"About editor permissions for mappings.dbpedia"	"uDear all! My name is Vadim Onufriev. I'd like to write missing labels for the Russian language in Please, tell me what should I do to get the editor permissions there? uHi Vadim & happy new year you got editor right but in the meantime we change the process of requesting a new account, using this list is not efficient Read the mapping documentation and always ask in case of doubt. Cheers, Dimitris On Fri, Dec 30, 2016 at 3:32 PM, ÐÐ°Ð´Ð¸Ð¼ < > wrote:"
"dbpedia 3.8 in Maven repo"	"uHello, In change log for release 3.8 you write that you \"plan to deploy the DBpedia framework in the main Maven repository, so users don't have to compile the framework anymore. \" That's fantastic news but I checked the central Maven repository and it's not there yet. When are you planning to deploy to Maven central and will there be some notification on the blog or this mailing list? Thanks, Piotr u+1 :) Nicolas. On Aug 8, 2012, at 11:47 AM, Piotr Jagielski < > wrote: uDoes anybody know anything about it? I can compile the library myself but if this pain can be avoided I would really love to know. Thanks, Piotr On 2012-08-09 22:56, Nicolas Torzec wrote: uLet's say, that we formulated the plan to do it, but it still needs to be implemented. I would assume three to six months (or nine) unless either you or Nicolas want to help speed up the process? Maybe we can start with collecting TODOs ? All the best, Sebastian Am 18.08.2012 23:24, schrieb Piotr Jagielski: uHi Sebastian, Although this task is very useful, I would probably be more useful at making DBpedia works on a distributed platform like Hadoop, for processing full database dumps and incremental updates. Nicolas. On Aug 20, 2012 11:53 PM, \"Sebastian Hellmann\" < > wrote: uAlright, that's good news. So Piotr is volunteering to work on the Maven Central release task while Nicolas is volunteering to work on the Hadoop indexing? Shall we propose some estimated completion dates, or perhaps milestones? Cheers, Pablo On Sat, Sep 15, 2012 at 4:52 PM, Nicolas Torzec < >wrote: uI asked for the access to the wiki so we can start collecting TODOs as suggested by Sebastian but I have not received a response so far. For me the priority of this task is lower at the moment because I have to use locally patched version anyway. Piotr On 2012-09-16 12:14, Pablo N. Mendes wrote: uHi Piotr, AFAIK the wiki is open to all. What happens when you try to create an account at wiki.dbpedia.org? There is also mappings.dbpedia.org, where I can give you edit permissions if you tell me your username. Cheers Pablo On Sep 16, 2012 12:21 PM, \"Piotr Jagielski\" < > wrote: uOK, I noticed the login link at the very bottom of the page and I verified I can edit pages after I registered. Thanks! Piotr On 2012-09-16 12:59, Pablo N. Mendes wrote:"
"election results"	"uHi I am new to SPARQL but would like to use dbpedia for fetching election results. I've tried the following query but the results come out unormalised. I expected to see: Tony Blair 10724953 William Hague 8357,615 Charles Kennedy 4814321 Can anyone suggest what is going wrong? Thanks George H i I am new to SPARQL but would like to use dbpedia for fetching election results. I've tried the following query George uHi, currently, there is no mapping for Infobox_election yet that the MappingExtractor could use. That is why the data is extracted by the InfoboxExtractor, which uses our initial, now three year old infobox parsing approach and accepts a lot of input without normalizing, cleaning or checking it. This extractor produces relations with the namespace Cheers, Max On Sun, Jul 25, 2010 at 2:07 PM, George Hamilton < > wrote:"
"Infobox onversions from wikipedia to dbpedia - some questions"	"uHi, Let me give an example: Wikipedia page: Dbpedia Page: Let's look at the wikipedia text and see who this guy was influenced by: In dbpedia, however we learn that the our subject, George Meyer, has ''Mad'' magazine by David Owen. Published in ''the New Yorker'' on March 13, 2000. Owen notes in the article that at the time of its writing, he had known Meyer for nearly 25 years, when they were both students and members of the ''Harvard Lampoon'' writing staff. (en) My first question is where is this coming from? Is this from an older wikipedia page? I could not readily see that in the history tab in wikipedia. Is there a way to map versions between dbpedia and wikipedia? Also in dbpedia we see another different influences uri: with the following objects: * dbpedia:Harvard_Lampoon * dbpedia:Mad_%28magazine%29 * dbpedia:The_New_Yorker Where are these in wikipedia and how do the two influences properties relate? The last question is that I can find entries in dbpedia with only two URI's in a row: for example: but no objectif you go to wikipedia, there is no object either. So this is a triple that is not really a triple? I know the conversion is not trivial, I just want to understand what to make of this and what semantics I can expect to find in dbpedia so any comments would be very appreciated. Thanks much! Marvin"
"Open Everything Berlin, Saturday 6th December 2008"	"uThought people might be interested to hear about Open Everything Berlin, which will take place on Saturday 6th December 2008. More details at: Warm regards, Jonathan Gray The Open Knowledge Foundation"
